#CODE;English;French;German;;Spanish;;;;;;;;;x
;;;;;;;;;;;;;;
grant_nob;Raise [Root.GetFirstName] to Nobility;;;x
grant_nob_desc;[Root.GetFirstName] is lowborn from no distinguished dynasty. You may grant [Root.GetFirstName] the priviledge to form [Root.GetHerHis] own house with [Root.GetHerHis] own Coat of Arms.;;;x
opinion_raised_to_nobility;Raised Me To Nobility!;;;x

employ_foreign_steward;Employ a Local Steward;;;;;;;;;;;;;
employ_foreign_steward_desc;Search for a noble who would help me manage my foreign subjects.;;;;;;;;;;;;;
;;;;;;;;;;;;;;
employ_foreign_steward_female;Employ a Local Stewardess;;;;;;;;;;;;;
employ_foreign_steward_female_desc;Search for a noblewoman who would help me manage my realm.;;;;;;;;;;;;;
;;;;;;;;;;;;;;
recruit_local_diplomat;Employ a Local Ambassador;;;;;;;;;;;;;
recruit_local_diplomat_desc;Search for a local noble who would help me manage my realm.;;;;;;;;;;;;;
;;;;;;;;;;;;;;
recruit_local_diplomat_female;Employ a Local Ambassadress;;;;;;;;;;;;;
recruit_local_diplomat_female_desc;Search for a noblewoman who would help me manage my realm.;;;;;;;;;;;;;
;;;;;;;;;;;;;;
recruit_local_soldier;Employ a Local Soldier;;;;;;;;;;;;;
recruit_local_soldier_desc;Search for a local noble who would help me manage my realm.;;;;;;;;;;;;;
;;;;;;;;;;;;;;
recruit_local_soldier_female;Employ a Local Soldieress;;;;;;;;;;;;;
recruit_local_soldier_female_desc;Search for a local noblewoman who would help me manage my realm.;;;;;;;;;;;;;
;;;;;;;;;;;;;;
recruit_local_steward;Employ a Local Steward;;;;;;;;;;;;;
recruit_local_steward_desc;Search for a local noble who would help me manage my realm.;;;;;;;;;;;;;
recruit_local_steward_female;Employ local Stewardess;;;;;;;;;;;;;
recruit_local_steward_female_desc;Search for a local noblewoman who would help me manage my realm.;;;;;;;;;;;;;
recruit_local_intriguer;Employ a Local Spy;;;;;;;;;;;;;
recruit_local_intriguer_desc;Search for a local noble who would help me manage my realm.;;;;;;;;;;;;;
;;;;;;;;;;;;;;
recruit_local_intriguer_female;Employ a Local Courtesan;;;;;;;;;;;;;
recruit_local_intriguer_female_desc;Search for a local noblewoman who would help me manage my realm.;;;;;;;;;;;;;
;;;;;;;;;;;;;;
recruit_local_priest;Employ a Local Priest;;;;;;;;;;;;;
recruit_local_priest_desc;Search for a local noble who would help me manage my realm.;;;;;;;;;;;;;
;;;;;;;;;;;;;;
recruit_local_priest_female;Employ a Local Priestess;;;;;;;;;;;;;
recruit_local_priest_female_desc;Search for a local noblewoman who would help me manage my realm.;;;;;;;;;;;;;
;;;;;;;;;;;;;;
recruit_local_woman;Employ a Local Noblewoman;;;;;;;;;;;;;
recruit_local_woman_desc;Search for a local noblewoman who would help me manage my realm.;;;;;;;;;;;;;
;;;;;;;;;;;;;;
EVTOPTB38111;I should let [From.GetFirstName] see [From.GetObjectPronoun] family.;;;;;;;;;;;;;
EVTTOOLTIP38112;I shall praise [From.GetObjectPronoun].;;;;;;;;;;;;;
EVTDESC38112;[From.GetFirstName] praised me for my efforts!;;;;;;;;;;;;;
EVTOPTA38112;Being [From.Culture.GetName] is so much easier!;;;;;;;;;;;;;
